2025-04-24 00:14:25,193 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,194 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:25,196 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,199 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,199 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,207 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,209 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:25,216 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,220 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:25,221 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:25,254 - INFO - Found: https://google.com/about - Status: 200
2025-04-24 00:14:25,261 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,264 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,264 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,265 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,265 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,267 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,268 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:25,329 - INFO - Found: https://google.com/analytics - Status: 200
2025-04-24 00:14:25,435 - INFO - Found: https://google.com/ads - Status: 200
2025-04-24 00:14:25,546 - INFO - Found: https://google.com/advertising - Status: 200
2025-04-24 00:14:25,548 - INFO - Found: https://google.com/advertise - Status: 200
2025-04-24 00:14:25,609 - INFO - Found: https://google.com/Research - Status: 200
2025-04-24 00:14:25,612 - INFO - Found: https://google.com/accessibility - Status: 200
2025-04-24 00:14:25,616 - INFO - Found: https://google.com/advertisers - Status: 200
2025-04-24 00:14:25,787 - INFO - Found: https://google.com/activity - Status: 200
2025-04-24 00:14:26,005 - INFO - Found: https://google.com/cars - Status: 200
2025-04-24 00:14:26,191 - INFO - Found: https://google.com/business - Status: 200
2025-04-24 00:14:26,205 - INFO - Found: https://google.com/compare - Status: 200
2025-04-24 00:14:26,230 - INFO - Found: https://google.com/chrome - Status: 200
2025-04-24 00:14:26,364 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:26,365 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:26,365 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:26,389 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:26,412 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 5
2025-04-24 00:14:26,433 - INFO - Found: https://google.com/account - Status: 200
2025-04-24 00:14:26,459 - INFO - Found: https://google.com/crossdomain.xml - Status: 200
2025-04-24 00:14:26,672 - INFO - Found: https://google.com/creditcards - Status: 200
2025-04-24 00:14:26,695 - INFO - Found: https://google.com/company - Status: 200
2025-04-24 00:14:26,705 - INFO - Found: https://google.com/accounts - Status: 200
2025-04-24 00:14:26,737 - INFO - Found: https://google.com/collection - Status: 200
2025-04-24 00:14:26,799 - INFO - Found: https://google.com/contact - Status: 200
2025-04-24 00:14:26,826 - INFO - Found: https://google.com/books - Status: 200
2025-04-24 00:14:26,846 - INFO - Found: https://google.com/custom - Status: 200
2025-04-24 00:14:27,279 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:27,297 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:27,357 - INFO - Found: https://google.com/appliance - Status: 200
2025-04-24 00:14:27,537 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:27,538 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
